DEBUG:root:2015-12-29 15:27:22.908408 	 ClientGui 	 Initial setup completed
DEBUG:root:2015-12-29 15:27:29.791169 	 ClientGui 	 Name: 12
DEBUG:root:2015-12-29 15:27:35.936266 	 ClientGui 	 Server: 10.0.0.14
DEBUG:root:2015-12-29 15:27:35.944438 	 ClientGui 	 Socket setup completed
DEBUG:root:2015-12-29 15:27:35.944947 	 ClientGui 	 ControllerThread setup completed
DEBUG:root:2015-12-29 15:27:35.945427 	 CThread 	 Login sent to Server
DEBUG:root:2015-12-29 15:27:35.945693 	 ClientGui 	 ReceiverThread setup completed
DEBUG:root:2015-12-29 15:27:49.176246 	 ClientGui 	 Initial setup completed
DEBUG:root:2015-12-29 15:27:59.133210 	 ClientGui 	 Name: 1234
DEBUG:root:2015-12-29 15:28:04.256403 	 ClientGui 	 Server: 10.0.0.14
DEBUG:root:2015-12-29 15:28:29.720124 	 ClientGui 	 Socket setup completed
DEBUG:root:2015-12-29 15:28:29.720784 	 ClientGui 	 ControllerThread setup completed
DEBUG:root:2015-12-29 15:28:29.721119 	 CThread 	 Login sent to Server
DEBUG:root:2015-12-29 15:28:29.721392 	 ClientGui 	 ReceiverThread setup completed
